Date,Category,Payment Mode,Description,Amount Paid,Cashback,Month
2023-03-16,Healthcare,Netbanking,Doctor consultation fee,252.12,12.61,March
2023-03-11,Subscriptions,Cash,Spotify,291.1,43.66,March
2023-03-17,Bills,UPI,Electricity bill payment,189.67,9.48,March
2023-03-09,Healthcare,Netbanking,Health insurance premium,355.08,17.75,March
2023-03-11,Transportation,Cash,Ride-sharing service payment,254.66,38.2,March
2023-03-14,Entertainment,Cash,Amusement park entry fee,373.84,56.08,March
2023-03-21,Transportation,CardTransaction,Monthly bus pass,272.58,13.63,March
2023-03-25,Subscriptions,UPI,Spotify,38.43,1.92,March
2023-03-22,Transportation,Cash,Ride-sharing service payment,408.44,61.27,March
2023-03-15,Entertainment,UPI,Movie theater ticket,253.29,12.66,March
2023-03-23,Subscriptions,Cash,Amazon Prime Membership,63.5,9.53,March
2023-03-12,Food,Online,Pizza order,311.83,31.18,March
2023-03-19,Entertainment,CardTransaction,Bookstore purchase,443.94,22.2,March
2023-03-24,Groceries,Netbanking,Cooking Essentials,290.22,14.51,March
2023-03-05,Transportation,Netbanking,Train ticket to downtown,311.37,15.57,March
2023-03-18,Subscriptions,UPI,Amazon Prime Membership,175.65,8.78,March
2023-03-05,Healthcare,Online,Optician eyewear purchase,93.93,9.39,March
2023-03-02,Food,UPI,Grocery shopping at local market,114.75,5.74,March
2023-03-22,Subscriptions,UPI,LinkedIn,76.97,3.85,March
2023-03-27,Entertainment,Cash,Concert ticket purchase,372.33,55.85,March
2023-03-27,Subscriptions,UPI,Amazon Prime Membership,334.22,16.71,March
2023-03-24,Groceries,CardTransaction,Snacks and Drinks,446.52,22.33,March
2023-03-02,Bills,Cash,Mobile phone bill,104.69,15.7,March
2023-03-28,Food,Online,Bakery purchase,176.82,17.68,March
2023-03-08,Food,CardTransaction,Grocery shopping at local market,193.26,9.66,March
2023-03-14,Subscriptions,Netbanking,Amazon Prime Membership,289.02,14.45,March
2023-03-18,Transportation,Netbanking,Monthly bus pass,122.58,6.13,March
2023-03-03,Bills,Cash,Water utility bill,130.58,19.59,March
2023-03-31,Subscriptions,Online,LinkedIn,285.77,28.58,March
2023-03-13,Food,Online,Grocery shopping at local market,214.22,21.42,March
2023-03-07,Subscriptions,Cash,Amazon Prime Membership,347.85,52.18,March
2023-03-29,Entertainment,Netbanking,Bookstore purchase,243.0,12.15,March
2023-03-08,Healthcare,Cash,Doctor consultation fee,162.82,24.42,March
2023-03-07,Bills,Netbanking,Water utility bill,49.38,2.47,March
2023-03-01,Healthcare,Online,Doctor consultation fee,333.1,33.31,March
2023-03-06,Food,Online,Pizza order,321.84,32.18,March
2023-03-28,Subscriptions,Netbanking,Netflix,29.89,1.49,March
2023-03-10,Food,Cash,Grocery shopping at local market,15.55,2.33,March
2023-03-20,Food,UPI,Grocery shopping at local market,428.41,21.42,March
2023-03-07,Entertainment,Cash,Amusement park entry fee,134.61,20.19,March
2023-03-07,Food,UPI,Grocery shopping at local market,273.33,13.67,March
2023-03-27,Subscriptions,Netbanking,Spotify,222.91,11.15,March
2023-03-12,Groceries,Online,Dairy products,232.96,23.3,March
2023-03-15,Bills,UPI,Electricity bill payment,198.51,9.93,March
2023-03-07,Food,Cash,Pizza order,335.37,50.31,March
2023-03-27,Entertainment,CardTransaction,Amusement park entry fee,401.04,20.05,March
2023-03-18,Food,Online,Bakery purchase,390.5,39.05,March
2023-03-04,Food,UPI,Bakery purchase,81.36,4.07,March
2023-03-11,Entertainment,Cash,Concert ticket purchase,258.51,38.78,March
2023-03-27,Healthcare,Online,Dental clinic payment,475.48,47.55,March
2023-03-28,Subscriptions,Online,LinkedIn,477.38,47.74,March
2023-03-08,Healthcare,Netbanking,Doctor consultation fee,199.94,10.0,March
2023-03-25,Transportation,Cash,Taxi fare,487.46,73.12,March
2023-03-01,Groceries,Netbanking,Dairy products,287.8,14.39,March
2023-03-12,Transportation,CardTransaction,Gas station refill,149.87,7.49,March
2023-03-21,Transportation,Cash,Taxi fare,149.24,22.39,March
2023-03-29,Subscriptions,Netbanking,Disney Hotstar,121.25,6.06,March
2023-03-31,Subscriptions,Netbanking,Amazon Prime Membership,278.11,13.91,March
2023-03-05,Subscriptions,Netbanking,Amazon Prime Membership,424.83,21.24,March
2023-03-26,Transportation,Cash,Monthly bus pass,475.81,71.37,March
2023-03-29,Food,UPI,Pizza order,255.28,12.76,March
2023-03-05,Bills,Netbanking,Water utility bill,292.51,14.63,March
2023-03-10,Bills,CardTransaction,Cable TV subscription,367.22,18.36,March
2023-03-03,Bills,CardTransaction,Water utility bill,266.41,13.32,March
2023-03-02,Transportation,Cash,Taxi fare,228.41,34.26,March
2023-03-13,Food,Netbanking,Dinner at Italian restaurant,291.02,14.55,March
2023-03-22,Food,Netbanking,Coffee at cafe,153.18,7.66,March
2023-03-02,Subscriptions,Netbanking,Netflix,220.41,11.02,March
2023-03-04,Healthcare,Online,Doctor consultation fee,405.0,40.5,March
2023-03-13,Groceries,Online,Snacks and Drinks,343.22,34.32,March
2023-03-21,Subscriptions,CardTransaction,Netflix,23.37,1.17,March
2023-03-13,Healthcare,UPI,Pharmacy medication purchase,83.15,4.16,March
2023-03-23,Groceries,Cash,Meat and fish,176.66,26.5,March
2023-03-23,Entertainment,CardTransaction,Amusement park entry fee,227.55,11.38,March
2023-03-08,Healthcare,Online,Pharmacy medication purchase,220.79,22.08,March
2023-03-08,Healthcare,UPI,Doctor consultation fee,197.38,9.87,March
2023-03-09,Healthcare,Online,Pharmacy medication purchase,226.44,22.64,March
2023-03-03,Healthcare,Netbanking,Dental clinic payment,348.48,17.42,March
2023-03-07,Entertainment,Online,Movie theater ticket,152.58,15.26,March
2023-03-27,Food,CardTransaction,Pizza order,497.22,24.86,March
2023-03-09,Food,Online,Coffee at cafe,450.53,45.05,March
2023-03-01,Entertainment,Cash,Amusement park entry fee,489.21,73.38,March
2023-03-13,Entertainment,CardTransaction,Amusement park entry fee,488.68,24.43,March
2023-03-31,Groceries,UPI,Kitchen items,408.71,20.44,March
2023-03-17,Healthcare,Cash,Optician eyewear purchase,119.66,17.95,March
2023-03-25,Subscriptions,UPI,Netflix,467.74,23.39,March
2023-03-19,Entertainment,Cash,Concert ticket purchase,168.47,25.27,March
2023-03-25,Transportation,Netbanking,Taxi fare,255.9,12.8,March
2023-03-22,Transportation,CardTransaction,Gas station refill,135.91,6.8,March
2023-03-26,Food,UPI,Dinner at Italian restaurant,486.19,24.31,March
2023-03-14,Healthcare,Netbanking,Pharmacy medication purchase,110.91,5.55,March
2023-03-23,Entertainment,CardTransaction,Movie theater ticket,242.54,12.13,March
2023-03-19,Groceries,Cash,Cooking Essentials,11.49,1.72,March
2023-03-05,Entertainment,Netbanking,Streaming service subscription,356.43,17.82,March
2023-03-15,Entertainment,CardTransaction,Concert ticket purchase,131.6,6.58,March
2023-03-12,Food,CardTransaction,Dinner at Italian restaurant,426.42,21.32,March
2023-03-08,Entertainment,CardTransaction,Bookstore purchase,258.38,12.92,March
2023-03-25,Subscriptions,Cash,Netflix,313.88,47.08,March
2023-03-30,Entertainment,Netbanking,Amusement park entry fee,84.75,4.24,March
2023-03-10,Entertainment,UPI,Amusement park entry fee,412.33,20.62,March
2023-03-06,Healthcare,UPI,Doctor consultation fee,156.05,7.8,March
2023-03-27,Bills,Cash,Water utility bill,45.87,6.88,March
2023-03-04,Subscriptions,Netbanking,Amazon Prime Membership,126.57,6.33,March
2023-03-25,Entertainment,CardTransaction,Amusement park entry fee,123.0,6.15,March
2023-03-28,Entertainment,Online,Bookstore purchase,463.98,46.4,March
2023-03-06,Transportation,CardTransaction,Train ticket to downtown,370.56,18.53,March
2023-03-27,Healthcare,Cash,Dental clinic payment,53.13,7.97,March
2023-03-28,Subscriptions,Cash,Netflix,477.72,71.66,March
2023-03-13,Subscriptions,Online,Disney Hotstar,472.47,47.25,March
2023-03-27,Healthcare,Cash,Optician eyewear purchase,58.89,8.83,March
2023-03-27,Food,Netbanking,Grocery shopping at local market,170.86,8.54,March
2023-03-09,Subscriptions,Online,Disney Hotstar,291.31,29.13,March
2023-03-26,Healthcare,CardTransaction,Health insurance premium,89.04,4.45,March
2023-03-29,Groceries,Online,Dairy products,217.09,21.71,March
2023-03-05,Healthcare,UPI,Dental clinic payment,344.34,17.22,March
2023-03-22,Transportation,CardTransaction,Monthly bus pass,294.98,14.75,March
2023-03-07,Bills,UPI,Mobile phone bill,401.91,20.1,March
2023-03-13,Healthcare,Cash,Doctor consultation fee,117.23,17.58,March
2023-03-26,Healthcare,CardTransaction,Pharmacy medication purchase,15.55,0.78,March
2023-03-07,Transportation,Online,Taxi fare,75.3,7.53,March
2023-03-24,Healthcare,UPI,Doctor consultation fee,350.15,17.51,March
2023-03-22,Transportation,Cash,Monthly bus pass,306.18,45.93,March
2023-03-28,Bills,Online,Mobile phone bill,343.67,34.37,March
2023-03-04,Healthcare,Online,Health insurance premium,446.15,44.62,March
2023-03-25,Food,Cash,Pizza order,183.6,27.54,March
2023-03-18,Transportation,Online,Train ticket to downtown,139.51,13.95,March
2023-03-12,Subscriptions,Cash,Spotify,264.96,39.74,March
2023-03-01,Transportation,Online,Train ticket to downtown,182.53,18.25,March
2023-03-12,Food,Netbanking,Bakery purchase,450.65,22.53,March
2023-03-12,Entertainment,UPI,Bookstore purchase,142.04,7.1,March
2023-03-17,Subscriptions,Cash,Netflix,27.78,4.17,March
2023-03-31,Subscriptions,UPI,Spotify,21.16,1.06,March
2023-03-07,Transportation,Cash,Monthly bus pass,91.34,13.7,March
2023-03-05,Subscriptions,Cash,Amazon Prime Membership,483.45,72.52,March
2023-03-22,Entertainment,Cash,Bookstore purchase,388.64,58.3,March
2023-03-01,Bills,Online,Water utility bill,358.11,35.81,March
2023-03-29,Entertainment,Online,Bookstore purchase,476.08,47.61,March
2023-03-26,Bills,UPI,Internet service provider charge,435.62,21.78,March
2023-03-23,Food,Netbanking,Pizza order,153.91,7.7,March
2023-03-03,Entertainment,Netbanking,Amusement park entry fee,490.56,24.53,March
2023-03-06,Subscriptions,CardTransaction,Amazon Prime Membership,283.99,14.2,March
2023-03-14,Subscriptions,Online,LinkedIn,111.39,11.14,March
2023-03-04,Groceries,Online,Kitchen items,404.48,40.45,March
2023-03-03,Transportation,Online,Train ticket to downtown,411.56,41.16,March
2023-03-13,Entertainment,Cash,Concert ticket purchase,138.42,20.76,March
2023-03-28,Food,Online,Pizza order,436.25,43.62,March
2023-03-06,Bills,Online,Cable TV subscription,14.5,1.45,March
2023-03-30,Subscriptions,Online,LinkedIn,302.73,30.27,March
2023-03-08,Bills,Netbanking,Cable TV subscription,75.62,3.78,March
2023-03-13,Food,CardTransaction,Pizza order,258.55,12.93,March
2023-03-25,Healthcare,Netbanking,Health insurance premium,361.3,18.07,March
2023-04-03,Subscriptions,CardTransaction,Amazon Prime Membership,192.28,9.61,April
2023-04-04,Healthcare,CardTransaction,Optician eyewear purchase,385.0,19.25,April
2023-04-19,Food,UPI,Bakery purchase,82.85,4.14,April
2023-04-10,Groceries,CardTransaction,Meat and fish,115.97,5.8,April
2023-04-22,Entertainment,CardTransaction,Concert ticket purchase,150.1,7.5,April
2023-04-22,Transportation,CardTransaction,Monthly bus pass,316.05,15.8,April
2023-04-01,Subscriptions,Cash,Netflix,271.08,40.66,April
2023-04-14,Food,Online,Bakery purchase,164.57,16.46,April
2023-04-30,Transportation,Cash,Ride-sharing service payment,36.76,5.51,April
2023-04-19,Subscriptions,Netbanking,Disney Hotstar,419.34,20.97,April
2023-04-08,Groceries,Online,Snacks and Drinks,65.16,6.52,April
2023-04-20,Healthcare,Netbanking,Dental clinic payment,353.1,17.66,April
2023-04-11,Transportation,UPI,Taxi fare,238.01,11.9,April
2023-04-20,Subscriptions,Netbanking,Disney Hotstar,450.19,22.51,April
2023-04-15,Groceries,UPI,Dairy products,281.99,14.1,April
2023-04-06,Subscriptions,Netbanking,Netflix,336.45,16.82,April
2023-04-04,Entertainment,Netbanking,Movie theater ticket,483.46,24.17,April
2023-04-21,Subscriptions,UPI,Disney Hotstar,207.04,10.35,April
2023-04-30,Healthcare,Netbanking,Doctor consultation fee,166.08,8.3,April
2023-04-28,Entertainment,Netbanking,Movie theater ticket,74.21,3.71,April
2023-04-26,Subscriptions,Online,LinkedIn,284.15,28.41,April
2023-04-09,Bills,Online,Cable TV subscription,390.5,39.05,April
2023-04-13,Entertainment,CardTransaction,Bookstore purchase,297.76,14.89,April
2023-04-15,Bills,Online,Internet service provider charge,460.08,46.01,April
2023-04-05,Entertainment,Cash,Bookstore purchase,109.03,16.35,April
2023-04-10,Transportation,UPI,Gas station refill,34.83,1.74,April
2023-04-08,Transportation,Netbanking,Taxi fare,479.8,23.99,April
2023-04-28,Entertainment,UPI,Amusement park entry fee,127.33,6.37,April
2023-04-04,Transportation,Online,Gas station refill,19.82,1.98,April
2023-04-01,Entertainment,CardTransaction,Amusement park entry fee,253.61,12.68,April
2023-04-13,Subscriptions,Online,Amazon Prime Membership,445.25,44.53,April
2023-04-21,Transportation,Cash,Gas station refill,261.13,39.17,April
2023-04-09,Bills,UPI,Mobile phone bill,202.79,10.14,April
2023-04-11,Food,CardTransaction,Pizza order,265.95,13.3,April
2023-04-29,Bills,Cash,Electricity bill payment,169.45,25.42,April
2023-04-19,Healthcare,Cash,Health insurance premium,154.36,23.15,April
2023-04-11,Food,Cash,Grocery shopping at local market,204.3,30.64,April
2023-04-22,Subscriptions,UPI,Amazon Prime Membership,291.52,14.58,April
2023-04-08,Food,Cash,Coffee at cafe,110.68,16.6,April
2023-04-15,Subscriptions,UPI,LinkedIn,224.12,11.21,April
2023-04-06,Entertainment,UPI,Amusement park entry fee,225.98,11.3,April
2023-04-17,Healthcare,CardTransaction,Health insurance premium,16.73,0.84,April
2023-04-21,Healthcare,Online,Doctor consultation fee,381.89,38.19,April
2023-04-05,Subscriptions,UPI,Netflix,172.01,8.6,April
2023-04-01,Groceries,CardTransaction,Cooking Essentials,444.4,22.22,April
2023-04-20,Entertainment,Cash,Amusement park entry fee,394.93,59.24,April
2023-04-10,Groceries,Online,Cooking Essentials,209.5,20.95,April
2023-04-26,Groceries,UPI,Cooking Essentials,160.79,8.04,April
2023-04-19,Subscriptions,CardTransaction,LinkedIn,347.88,17.39,April
2023-04-23,Subscriptions,Cash,Amazon Prime Membership,229.47,34.42,April
2023-04-13,Subscriptions,Online,Netflix,338.15,33.81,April
2023-04-12,Subscriptions,Cash,Spotify,297.39,44.61,April
2023-04-05,Healthcare,UPI,Pharmacy medication purchase,82.64,4.13,April
2023-04-24,Bills,Netbanking,Cable TV subscription,366.95,18.35,April
2023-04-12,Transportation,Online,Monthly bus pass,475.82,47.58,April
2023-04-05,Entertainment,Cash,Bookstore purchase,339.61,50.94,April
2023-04-10,Subscriptions,Online,Netflix,100.3,10.03,April
2023-04-18,Healthcare,UPI,Optician eyewear purchase,356.79,17.84,April
2023-04-02,Healthcare,Netbanking,Optician eyewear purchase,119.71,5.99,April
2023-04-14,Transportation,Online,Train ticket to downtown,478.12,47.81,April
2023-04-27,Subscriptions,Cash,Spotify,453.08,67.96,April
2023-04-12,Entertainment,Online,Amusement park entry fee,277.29,27.73,April
2023-04-30,Healthcare,Online,Doctor consultation fee,66.18,6.62,April
2023-04-21,Entertainment,Netbanking,Concert ticket purchase,385.76,19.29,April
2023-04-23,Bills,CardTransaction,Cable TV subscription,397.16,19.86,April
2023-04-07,Subscriptions,Netbanking,Netflix,198.74,9.94,April
2023-04-17,Food,Online,Dinner at Italian restaurant,157.14,15.71,April
2023-04-30,Entertainment,Online,Bookstore purchase,297.3,29.73,April
2023-04-16,Food,Netbanking,Bakery purchase,66.62,3.33,April
2023-04-20,Subscriptions,Cash,Disney Hotstar,416.11,62.42,April
2023-04-13,Groceries,CardTransaction,Cooking Essentials,241.18,12.06,April
2023-04-27,Subscriptions,CardTransaction,Amazon Prime Membership,112.25,5.61,April
2023-04-17,Bills,Online,Electricity bill payment,306.48,30.65,April
2023-04-08,Food,CardTransaction,Bakery purchase,438.24,21.91,April
2023-04-06,Subscriptions,UPI,Amazon Prime Membership,98.9,4.95,April
2023-04-17,Groceries,CardTransaction,Kitchen items,257.87,12.89,April
2023-04-02,Entertainment,Cash,Streaming service subscription,219.78,32.97,April
2023-04-01,Entertainment,UPI,Concert ticket purchase,60.96,3.05,April
2023-04-19,Entertainment,Online,Concert ticket purchase,281.15,28.11,April
2023-04-13,Healthcare,Online,Doctor consultation fee,398.22,39.82,April
2023-04-24,Transportation,CardTransaction,Taxi fare,24.8,1.24,April
2023-04-05,Subscriptions,UPI,Disney Hotstar,493.02,24.65,April
2023-04-25,Entertainment,UPI,Streaming service subscription,474.35,23.72,April
2023-04-07,Bills,UPI,Internet service provider charge,435.82,21.79,April
2023-04-25,Entertainment,UPI,Amusement park entry fee,182.6,9.13,April
2023-04-15,Transportation,Netbanking,Ride-sharing service payment,495.34,24.77,April
2023-04-10,Subscriptions,Netbanking,LinkedIn,11.21,0.56,April
2023-04-11,Healthcare,Online,Dental clinic payment,117.97,11.8,April
2023-04-06,Transportation,Online,Ride-sharing service payment,314.96,31.5,April
2023-04-08,Bills,Online,Mobile phone bill,325.12,32.51,April
2023-04-19,Healthcare,Online,Dental clinic payment,445.07,44.51,April
2023-04-19,Groceries,UPI,Meat and fish,85.69,4.28,April
2023-04-15,Bills,UPI,Cable TV subscription,227.8,11.39,April
2023-04-16,Transportation,Cash,Monthly bus pass,155.3,23.3,April
2023-04-09,Transportation,Online,Train ticket to downtown,451.7,45.17,April
2023-04-14,Subscriptions,UPI,Disney Hotstar,93.94,4.7,April
2023-04-20,Food,Netbanking,Pizza order,458.84,22.94,April
2023-04-09,Subscriptions,CardTransaction,Netflix,375.47,18.77,April
2023-04-14,Entertainment,Netbanking,Bookstore purchase,304.77,15.24,April
2023-04-16,Transportation,CardTransaction,Monthly bus pass,408.65,20.43,April
2023-04-11,Bills,Cash,Cable TV subscription,334.81,50.22,April
2023-04-13,Transportation,CardTransaction,Ride-sharing service payment,42.53,2.13,April
2023-04-18,Bills,Netbanking,Mobile phone bill,287.07,14.35,April
2023-04-02,Groceries,UPI,Kitchen items,361.74,18.09,April
2023-04-30,Bills,Netbanking,Cable TV subscription,259.5,12.98,April
2023-04-02,Subscriptions,Netbanking,Amazon Prime Membership,493.38,24.67,April
2023-04-17,Bills,CardTransaction,Cable TV subscription,470.01,23.5,April
2023-04-24,Food,Netbanking,Pizza order,375.44,18.77,April
2023-04-18,Food,Netbanking,Coffee at cafe,310.02,15.5,April
2023-04-20,Subscriptions,UPI,LinkedIn,440.97,22.05,April
2023-04-02,Subscriptions,Online,Disney Hotstar,145.96,14.6,April
2023-04-22,Transportation,Online,Train ticket to downtown,247.62,24.76,April
2023-04-20,Bills,Online,Internet service provider charge,345.99,34.6,April
2023-04-27,Groceries,Online,Cooking Essentials,410.65,41.06,April
2023-04-03,Entertainment,Netbanking,Streaming service subscription,79.22,3.96,April
2023-04-21,Healthcare,UPI,Optician eyewear purchase,318.28,15.91,April
2023-04-13,Food,UPI,Pizza order,81.23,4.06,April
2023-04-30,Groceries,Netbanking,Dairy products,175.03,8.75,April
2023-04-24,Bills,Netbanking,Cable TV subscription,20.44,1.02,April
2023-04-06,Subscriptions,Netbanking,Amazon Prime Membership,451.9,22.59,April
2023-04-21,Healthcare,Online,Pharmacy medication purchase,427.86,42.79,April
2023-04-23,Subscriptions,CardTransaction,LinkedIn,321.45,16.07,April
2023-04-30,Groceries,Cash,Cooking Essentials,172.0,25.8,April
2023-04-17,Transportation,Netbanking,Ride-sharing service payment,60.47,3.02,April
2023-04-30,Transportation,Online,Ride-sharing service payment,69.96,7.0,April
2023-04-07,Entertainment,Cash,Streaming service subscription,26.32,3.95,April
2023-04-18,Food,Netbanking,Coffee at cafe,338.23,16.91,April
2023-04-08,Healthcare,Cash,Pharmacy medication purchase,220.05,33.01,April
2023-04-12,Entertainment,CardTransaction,Bookstore purchase,472.68,23.63,April
2023-04-11,Transportation,Netbanking,Train ticket to downtown,483.76,24.19,April
2023-04-24,Subscriptions,CardTransaction,Spotify,92.55,4.63,April
2023-04-12,Entertainment,UPI,Bookstore purchase,413.01,20.65,April
2023-04-02,Healthcare,Online,Health insurance premium,77.79,7.78,April
2023-04-09,Transportation,Online,Monthly bus pass,251.53,25.15,April
2023-04-14,Healthcare,Netbanking,Dental clinic payment,154.25,7.71,April
2023-04-10,Healthcare,Cash,Pharmacy medication purchase,432.99,64.95,April
2023-04-06,Subscriptions,Online,Amazon Prime Membership,93.58,9.36,April
2023-04-27,Subscriptions,Online,Disney Hotstar,299.91,29.99,April
2023-04-27,Bills,UPI,Cable TV subscription,34.65,1.73,April
2023-04-29,Entertainment,CardTransaction,Concert ticket purchase,495.17,24.76,April
2023-04-26,Bills,Cash,Cable TV subscription,404.09,60.61,April
2023-04-03,Groceries,CardTransaction,Kitchen items,375.57,18.78,April
2023-04-17,Healthcare,Netbanking,Pharmacy medication purchase,324.1,16.21,April
2023-04-18,Transportation,CardTransaction,Train ticket to downtown,136.79,6.84,April
2023-04-16,Food,Cash,Bakery purchase,450.64,67.6,April
2023-04-23,Food,Cash,Coffee at cafe,102.86,15.43,April
2023-04-02,Subscriptions,UPI,Disney Hotstar,36.6,1.83,April
2023-04-01,Subscriptions,Netbanking,Disney Hotstar,34.15,1.71,April
2023-04-22,Entertainment,Cash,Amusement park entry fee,274.58,41.19,April
2023-04-12,Food,Online,Coffee at cafe,354.32,35.43,April
2023-04-19,Bills,Netbanking,Mobile phone bill,282.99,14.15,April
2023-04-28,Subscriptions,Netbanking,Netflix,479.51,23.98,April
2023-04-25,Groceries,Netbanking,Kitchen items,458.41,22.92,April
2023-04-04,Subscriptions,Netbanking,Disney Hotstar,415.73,20.79,April
2023-04-28,Entertainment,Online,Movie theater ticket,155.1,15.51,April
2023-04-26,Entertainment,UPI,Streaming service subscription,14.03,0.7,April
2023-04-07,Transportation,Cash,Train ticket to downtown,463.86,69.58,April
2023-04-08,Subscriptions,UPI,Spotify,203.3,10.17,April
2023-04-02,Groceries,CardTransaction,Cooking Essentials,372.57,18.63,April
2023-04-07,Entertainment,CardTransaction,Amusement park entry fee,242.8,12.14,April
2023-04-24,Groceries,Netbanking,Dairy products,373.43,18.67,April
2023-04-06,Groceries,Cash,Cooking Essentials,437.98,65.7,April
2023-04-25,Bills,Cash,Cable TV subscription,492.07,73.81,April
2023-04-11,Transportation,Online,Taxi fare,105.39,10.54,April
2023-04-14,Groceries,Netbanking,Kitchen items,110.61,5.53,April
2023-04-13,Transportation,Online,Train ticket to downtown,314.4,31.44,April
2023-04-15,Entertainment,Online,Movie theater ticket,377.06,37.71,April
2023-04-11,Groceries,Online,Meat and fish,496.14,49.61,April
2023-04-09,Healthcare,CardTransaction,Pharmacy medication purchase,417.06,20.85,April
2023-04-06,Entertainment,UPI,Concert ticket purchase,58.99,2.95,April
2023-04-24,Transportation,Netbanking,Taxi fare,105.08,5.25,April
2023-04-27,Entertainment,UPI,Streaming service subscription,306.6,15.33,April
2023-04-03,Transportation,Netbanking,Train ticket to downtown,456.23,22.81,April
2023-04-25,Healthcare,Online,Pharmacy medication purchase,432.99,43.3,April
2023-04-05,Subscriptions,CardTransaction,Disney Hotstar,169.97,8.5,April
2023-04-24,Healthcare,UPI,Doctor consultation fee,135.23,6.76,April
2023-04-26,Transportation,CardTransaction,Monthly bus pass,234.95,11.75,April
2023-04-26,Entertainment,Cash,Streaming service subscription,369.07,55.36,April
2023-04-30,Bills,Cash,Electricity bill payment,64.81,9.72,April
2023-04-23,Healthcare,Cash,Doctor consultation fee,337.27,50.59,April
2023-05-23,Subscriptions,Netbanking,Netflix,323.96,16.2,May
2023-05-19,Subscriptions,UPI,Netflix,161.44,8.07,May
2023-05-28,Food,Online,Pizza order,360.08,36.01,May
2023-05-08,Transportation,Cash,Train ticket to downtown,230.31,34.55,May
2023-05-12,Subscriptions,UPI,Amazon Prime Membership,198.28,9.91,May
2023-05-25,Entertainment,CardTransaction,Amusement park entry fee,88.46,4.42,May
2023-05-28,Entertainment,CardTransaction,Concert ticket purchase,428.97,21.45,May
2023-05-29,Entertainment,UPI,Bookstore purchase,77.46,3.87,May
2023-05-19,Groceries,Netbanking,Dairy products,409.84,20.49,May
2023-05-04,Healthcare,Netbanking,Health insurance premium,234.05,11.7,May
2023-05-11,Food,Cash,Pizza order,249.36,37.4,May
2023-05-20,Transportation,Cash,Ride-sharing service payment,316.24,47.44,May
2023-05-27,Entertainment,CardTransaction,Amusement park entry fee,319.76,15.99,May
2023-05-27,Entertainment,Online,Concert ticket purchase,82.28,8.23,May
2023-05-02,Bills,UPI,Water utility bill,351.51,17.58,May
2023-05-28,Bills,Netbanking,Cable TV subscription,57.48,2.87,May
2023-05-24,Subscriptions,Online,LinkedIn,93.29,9.33,May
2023-05-28,Groceries,UPI,Kitchen items,440.61,22.03,May
2023-05-26,Food,UPI,Coffee at cafe,491.82,24.59,May
2023-05-25,Food,Cash,Grocery shopping at local market,263.04,39.46,May
2023-05-22,Food,Netbanking,Grocery shopping at local market,141.38,7.07,May
2023-05-10,Transportation,Online,Taxi fare,359.35,35.94,May
2023-05-22,Bills,Netbanking,Electricity bill payment,185.06,9.25,May
2023-05-12,Healthcare,CardTransaction,Optician eyewear purchase,242.49,12.12,May
2023-05-18,Food,UPI,Grocery shopping at local market,294.9,14.74,May
2023-05-17,Groceries,Cash,Kitchen items,224.31,33.65,May
2023-05-21,Bills,Cash,Internet service provider charge,467.96,70.19,May
2023-05-02,Subscriptions,Online,Disney Hotstar,329.43,32.94,May
2023-05-23,Healthcare,CardTransaction,Optician eyewear purchase,466.11,23.31,May
2023-05-11,Food,Cash,Bakery purchase,284.07,42.61,May
2023-05-23,Entertainment,CardTransaction,Streaming service subscription,370.2,18.51,May
2023-05-05,Transportation,Netbanking,Gas station refill,467.22,23.36,May
2023-05-20,Transportation,CardTransaction,Taxi fare,485.24,24.26,May
2023-05-12,Subscriptions,CardTransaction,Disney Hotstar,409.46,20.47,May
2023-05-09,Transportation,Cash,Taxi fare,114.15,17.12,May
2023-05-24,Healthcare,UPI,Optician eyewear purchase,257.01,12.85,May
2023-05-12,Entertainment,Online,Bookstore purchase,25.2,2.52,May
2023-05-23,Healthcare,UPI,Doctor consultation fee,472.25,23.61,May
2023-05-09,Healthcare,Netbanking,Doctor consultation fee,277.89,13.89,May
2023-05-01,Entertainment,UPI,Amusement park entry fee,86.3,4.32,May
2023-05-24,Transportation,Cash,Monthly bus pass,466.63,69.99,May
2023-05-03,Groceries,Cash,Meat and fish,296.75,44.51,May
2023-05-13,Food,CardTransaction,Coffee at cafe,207.54,10.38,May
2023-05-05,Transportation,Cash,Taxi fare,188.04,28.21,May
2023-05-17,Entertainment,CardTransaction,Bookstore purchase,15.69,0.78,May
2023-05-11,Bills,Online,Cable TV subscription,437.39,43.74,May
2023-05-23,Bills,Netbanking,Mobile phone bill,342.0,17.1,May
2023-05-03,Entertainment,Netbanking,Bookstore purchase,25.15,1.26,May
2023-05-30,Food,Online,Dinner at Italian restaurant,230.3,23.03,May
2023-05-07,Subscriptions,UPI,LinkedIn,476.9,23.84,May
2023-05-08,Bills,Netbanking,Mobile phone bill,238.19,11.91,May
2023-05-03,Subscriptions,UPI,Amazon Prime Membership,255.37,12.77,May
2023-05-15,Groceries,Netbanking,Dairy products,160.08,8.0,May
2023-05-15,Subscriptions,CardTransaction,Spotify,92.58,4.63,May
2023-05-01,Bills,Cash,Water utility bill,249.81,37.47,May
2023-05-20,Groceries,UPI,Snacks and Drinks,266.0,13.3,May
2023-05-02,Bills,Online,Electricity bill payment,51.91,5.19,May
2023-05-29,Bills,Online,Mobile phone bill,398.76,39.88,May
